species,en_td,gas_temperature_k,mean_energy_eV,mobility_n_SI,diffusion_n_SI
Ar,1.0,300.0,2.4095385451580804,2.952139599305183e+24,1.2086253200339249e+25
Ar,1.5,300.0,2.907051934554098,2.1564612098019646e+24,1.0740507804726849e+25
Ar,2.0,300.0,3.31471795811857,1.724745318611139e+24,9.878735214041324e+24
Ar,3.0,300.0,3.9886817973338964,1.2634885935714567e+24,8.77495655142228e+24
Ar,4.0,300.0,4.528717445844569,1.0417018344881428e+24,8.106419267389747e+24
Ar,5.0,300.0,4.883313059536133,9.613098984901954e+23,7.76697036130287e+24
Ar,10.0,300.0,5.352426380431546,9.68432306642345e+23,7.515952009172988e+24
Ar,20.0,300.0,5.6276720015043935,9.402981563832468e+23,7.366728857843539e+24
Ar,40.0,300.0,6.005816509858955,8.69905306693091e+23,7.130288486515511e+24
Ar,80.0,300.0,6.542463672868521,7.992055316184107e+23,6.8262741335754e+24
Ar,120.0,300.0,6.964908805298958,7.613553233816312e+23,6.587332375867765e+24
Ar,200.0,300.0,7.689820476823219,7.138461097132091e+23,6.23981139081563e+24
Ar,300.0,300.0,8.525781445908565,6.751736061244305e+23,5.996352307732268e+24
Ar,500.0,300.0,10.197462325803317,6.277240432566383e+23,5.860024488876315e+24
Ar,750.0,300.0,12.439300350305345,5.934013314526268e+23,6.053539370944046e+24
Ar,1000.0,300.0,14.901347446008788,5.703213330605943e+23,6.492501234655447e+24
Ar,2000.0,300.0,26.726238621265242,5.095481774129597e+23,9.360429575530967e+24
Ar,3000.0,300.0,41.02300933031268,4.680021909335973e+23,1.291487045983078e+25
